description,nick_name,start_time,end_time,run_time,run,data_name,pic_name,pic_id,test_param,param_value,rorschach,curvature,target_curvature,null_curvature,target_variability,null_variability,sample_size,obs_plot_location,response_no,correct,conf_level,choice_reason,participant_count,plot_count
emily-log-2,07917c8f20bd64d139a5b2236f7e4e17,1606152294,1606152317,22.98188925,2,7ff3391e264e98652cdb6eb8b85088c4,plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg,16,log,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,10,1,Certain,Different shape,13,22
emily-log-2,07917c8f20bd64d139a5b2236f7e4e17,1606152317,1606152358,40.5631566,2,184b9f1a90081e0ffeedc112c6431d9c,plots/svg/a22fa470f1028ba1fa6fc5d121887a46.svg,23,linear,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,13,13,1,Neutral,Outlier(s),13,18
emily-log-2,07917c8f20bd64d139a5b2236f7e4e17,1606152358,1606152392,33.784199,2,184b9f1a90081e0ffeedc112c6431d9c,plots/svg/5e448cd61317e5499aee6d7ea7906c64.svg,24,log,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,13,13,1,Certain,Different shape,13,18
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159433,1606159474,41.04553366,3,f28e70dc6b7365974b49d253cdd85363,plots/svg/abd7b714d3c960b93247a0a3e0308473.svg,29,linear,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,8,0,Neutral,"Different range, Outlier(s)",13,21
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159474,1606159491,16.78787804,3,d5c6dd039c67d2cb6771b22aa1c6aaac,plots/svg/929c1e7fdc8f70077cdaf06728393cf6.svg,26,log,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,1,1,1,Certain,Different slope,13,22
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159491,1606159511,20.45000196,3,d5c6dd039c67d2cb6771b22aa1c6aaac,plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg,25,linear,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,1,1,1,Certain,Different slope,13,23
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159512,1606159594,82.18191051,3,3d689aa117d70559b73fe8398f1a44c6,plots/svg/20d0abf28998f59ada75cce6b4999158.svg,21,linear,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,4,0,Very Uncertain,Different range,13,28
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159641,1606159655,14.29295635,3,87f34b01f1fce217b6c33e04da081ed0,plots/svg/5ecce62e937c1598e901631b3a1821d2.svg,6,log,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,12,1,Uncertain,Different shape,13,20
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159656,1606159716,60.33632517,3,f28e70dc6b7365974b49d253cdd85363,plots/svg/e2e1ff57be869422245fc51b15415492.svg,30,log,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,12,1,Uncertain,Different shape,13,20
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159716,1606159733,16.60490942,3,d14de6e8946c29750256921ce0462931,plots/svg/b31a013dcd39fb18f0adb334dea600e1.svg,10,log,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,15,15,1,Uncertain,Different shape,13,24
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159733,1606159770,37.12456584,3,87f34b01f1fce217b6c33e04da081ed0,plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg,5,linear,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,1,0,Uncertain,"Different range, Outlier(s)",13,23
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159770,1606159821,51.21419549,3,d14de6e8946c29750256921ce0462931,plots/svg/b3a9571d8982604b9f655471bfe04fc1.svg,9,linear,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,15,15,1,Neutral,Different slope,13,24
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159821,1606159837,15.57446384,3,8ad2ea6719790c191cedf1038d3cbca5,plots/svg/5df2947852318075a066e55984da5020.svg,13,linear,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,11,0,Uncertain,Different slope,13,22
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159837,1606159850,12.99326777,3,8ad2ea6719790c191cedf1038d3cbca5,plots/svg/df10610fd0e27c50fe0db5b8ca04f080.svg,14,log,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,10,1,Neutral,Different shape,13,23
emily-log-2,0cf70ba06ca136fd39b9656dc36a1e28,1606159850,1606159863,13.55448627,3,3d689aa117d70559b73fe8398f1a44c6,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,22,log,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Neutral,Different shape,13,23
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196377,1606196402,25.43556905,4,b79bc1a0fdbb69edc87fe34883a066d6,plots/svg/39f08ba7613fc59a3b114a36a3a14244.svg,32,log,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,12,1,Neutral,"Different shape, Different slope",13,21
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196402,1606196417,14.83928037,4,87f34b01f1fce217b6c33e04da081ed0,plots/svg/35c0c87a6158fa1687b8ff46e56443e6.svg,5,linear,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,12,18,0,Neutral,"Different shape, Different slope",13,23
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196417,1606196431,13.79121614,4,d5c6dd039c67d2cb6771b22aa1c6aaac,plots/svg/3abe4bc02329ef5d724fd9ae7d438532.svg,25,linear,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,1,3,0,Neutral,"Different shape, Different slope",13,23
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196449,1606196465,16.41156554,4,3d689aa117d70559b73fe8398f1a44c6,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,22,log,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,20,0,Neutral,"Different shape, Different slope",13,23
emily-log-2,0fd70ce79e7389144e6241d6e33b0c47,1606196465,1606196475,9.872899771,4,b79bc1a0fdbb69edc87fe34883a066d6,plots/svg/e9510e025a1152c8bc78255bdc926f93.svg,31,linear,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,4,0,Neutral,Different range,13,22
