"participantID","nick_name","study_starttime","age","gender","academic_study","recruitment","plotID","start_time","end_time","parm_id","x","y","ydrawn","yloess","residualdrawn","residualloess","ypca"
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",4.75,1.020215,0.03735499,-0.0170327546279491,-0.98286001,-1.03724775462795,0.678408423129879
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",5,1.171088,0.09461913,0.135456266691872,-1.07646887,-1.03563173330813,0.845529663358122
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",5.25,1.321961,0.2664115,0.288600150369702,-1.0555495,-1.0333608496303,1.01265090358637
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",5.5,1.472835,0.438204,0.441642265993867,-1.034631,-1.03119273400613,1.17977214381461
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",5.75,1.623708,0.5527322,0.594967241289954,-1.0709758,-1.02874075871005,1.34689338404285
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",6,1.774581,0.7245246,0.748959703983552,-1.0500564,-1.02562129601645,1.5140146242711
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",6.25,1.925455,0.8963171,0.904004281800248,-1.0291379,-1.02145071819975,1.68113586449934
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",6.5,2.076328,1.010845,1.06048560246563,-1.065483,-1.01584239753437,1.84825710472758
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",6.75,2.227201,1.125374,1.21878829370528,-1.101827,-1.00841270629472,2.01537834495583
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",7,2.378075,1.297166,1.3792969832448,-1.080909,-0.998778016755199,2.18249958518407
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",7.25,2.528948,1.468958,1.54239629880977,-1.05999,-0.986551701190234,2.34962082541231
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",7.5,2.679821,1.640751,1.70847086812577,-1.03907,-0.971350131874233,2.51674206564056
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",7.75,2.830695,1.755279,1.87840884461662,-1.075416,-0.952286155383385,2.6838633058688
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",8,2.981568,1.984336,2.05241789442003,-0.997232,-0.929150105579967,2.85098454609704
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",8.25,3.132441,2.213392,2.22986191433248,-0.919049,-0.902579085667523,3.01810578632529
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",8.5,3.283315,2.385185,2.41010480115041,-0.89813,-0.873210198849594,3.18522702655353
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",8.75,3.434188,2.556977,2.59251045167027,-0.877211,-0.841677548329727,3.35234826678177
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",9,3.585061,2.728769,2.77644276268854,-0.856292,-0.808618237311463,3.51946950701002
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",9.25,3.735935,2.957826,2.96126563100165,-0.778109,-0.774669368998345,3.68659074723826
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",9.5,3.886808,3.186883,3.14634295340608,-0.699925,-0.740465046593916,3.8537119874665
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",9.75,4.037682,3.358675,3.33103862669828,-0.679007,-0.706643373301721,4.02083322769475
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",10,4.188555,3.530467,3.5147165476747,-0.658088,-0.673838452325302,4.18795446792299
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",10.25,4.339428,3.759524,3.69862508445148,-0.579904,-0.640802915548522,4.35507570815123
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",10.5,4.490302,3.931316,3.88430224690748,-0.558986,-0.605999753092519,4.52219694837948
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",10.75,4.641175,4.103109,4.07154639448325,-0.538066,-0.569628605516748,4.68931818860772
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",11,4.792048,4.332165,4.26015588661934,-0.459883,-0.531892113380659,4.85643942883596
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",11.25,4.942922,4.618486,4.44992908275629,-0.324436,-0.492992917243707,5.02356066906421
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",11.5,5.093795,4.733014,4.64066434233466,-0.360781,-0.453130657665343,5.19068190929245
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",11.75,5.244668,4.790278,4.83216002479498,-0.45439,-0.412507975205023,5.3578031495207
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",12,5.395542,5.076599,5.0242144895778,-0.318943,-0.371327510422198,5.52492438974894
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",12.25,5.546415,5.248392,5.21662609612368,-0.298023,-0.329788903876322,5.69204562997718
"7b6a151fe8d473fe90ff4deec3cc167e","612c09dd0b9436d0ec55be6570bf0f09",1621268458,"26-30","Male","Graduate Degree","Other","76dca5cfc64c5dbdf584fa7091ffe8aa",1621268695,1621268704,"F",12.5,5.697288,5.477448,5.40919320387315,-0.21984,-0.288094796126849,5.85916687020543
