"contrast","parm_id","ratio","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"olsSS / pcaSS","F",1.39081169783118,0.275645004487001,196.218348571356,0.940852892029516,2.05596134657293,1.66450119167634,0.0976083373717445
"olsSS / pcaSS","N",1.39560298787962,0.26752343613847,196.218348571358,0.956273815288921,2.03676778412056,1.73888151819541,0.0836240117148655
"olsSS / pcaSS","S",1.20183751343844,0.234188690762082,196.218348571358,0.81837477121077,1.76497792884172,0.943511854999732,0.346579425456238
"olsSS / pcaSS","V",1.01961615037279,0.202077749836874,196.218348571358,0.689747436934979,1.5072431420996,0.0980182193962048,0.922017879776843
