"parm_id","Fit","response","SE","df","lower.CL","upper.CL"
"F","olsSS",74.4762851008428,14.0736451618748,112.382088671542,51.217358375007,108.297601016625
"N","olsSS",91.2893761921767,16.888983312352,106.0147101651,63.2594654840402,131.739181508881
"S","olsSS",24.3664519919675,4.55210222484,109.070778344344,16.8262794374514,35.2855178046887
"V","olsSS",33.8321436867703,6.39865797556237,112.337636002841,23.2588962682894,49.211877177629
"F","pcaSS",53.5487911246222,10.1190155244029,112.382088671541,36.8255159594034,77.8664726400446
"N","pcaSS",65.4121386848528,12.1015671785082,106.0147101651,45.327694217789,94.3958866905524
"S","pcaSS",20.2743313630271,3.78761868716886,109.070778344344,14.0004611682586,29.3596408916686
"V","pcaSS",33.1812551953014,6.2755557306766,112.337636002841,22.8114239459482,48.2651016852139
